Time (Sec);S3;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S4;S8;S9;S45;S46;S47;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
10.037429333333309;19160.0;99.89064079999997;99.98513199999996;99.85772879999993;99.85429679999993;99.88142479999993;99.97803919999996;99.98513199999996;99.97140399999995;99.98169999999996;99.73966799999992;99.88165359999994;99.98513199999996;99.88508559999994;99.87478959999993;99.96820079999995;99.68519839999993;99.97210639999994;99.70984159999998;99.73516079999993;99.97529359999996;99.98192879999996;
20.037429333333222;19160.0;99.84238079999994;99.98423199999993;99.73606079999988;99.73262879999987;99.8322175999999;99.97713919999993;99.98423199999993;99.97050399999992;99.98079999999993;99.50363119999984;99.8324463999999;99.98423199999993;99.8358783999999;99.82558239999989;99.96730079999992;99.28933599999988;99.97120639999991;99.41222959999996;99.49344079999986;99.97439359999993;99.98102879999993;
30.037429333333126;19160.0;99.65069999999992;99.83841039999987;99.73516079999985;99.73172879999984;99.62049759999991;99.70581919999994;99.84125199999991;99.8512039999999;99.86149999999991;99.31195039999982;99.61651199999986;99.83841039999987;99.83497839999987;99.82468239999986;99.8432647999999;99.03686319999983;99.64617279999985;99.08719599999989;99.49254079999983;99.85272559999987;99.85936079999988;
40.00457599999963;19160.0;99.62554639999988;99.83751039999984;99.73426079999982;99.73082879999981;99.61959759999988;99.68123919999991;99.84035199999988;99.77926399999987;99.86059999999988;99.14350719999977;99.47232239999983;99.74089599999982;99.83407839999984;99.82378239999983;99.76848319999988;99.0359631999998;99.40536879999979;98.95385919999984;99.4916407999998;99.85182559999984;99.76184639999983;
50.0045759999994;19160.0;99.57728639999985;99.83661039999981;99.68505359999978;99.70577519999978;99.57039039999984;99.68033919999988;99.83945199999985;99.73100399999984;99.85969999999985;98.95290479999973;99.35147039999978;99.69168879999978;99.7848711999998;99.7987287999998;99.71822879999985;98.89167359999976;99.28451679999975;98.81060079999982;99.37078879999976;99.85092559999981;99.71263919999978;
60.00126533333246;19160.0;99.50534639999982;99.83571039999978;99.4667711999997;99.4874927999997;99.49702959999979;99.67943919999985;99.83855199999982;99.73000399999981;99.85879999999982;98.57655119999963;99.25395599999973;99.69078879999975;99.68735679999975;99.70111439999974;99.71732879999982;98.40082879999972;99.28361679999972;98.43061999999982;99.00921679999968;99.85002559999978;99.71173919999976;
70.00566533333269;19160.0;99.5044463999998;99.83481039999975;99.32094959999964;99.34157119999963;99.49612959999976;99.67853919999982;99.83765199999979;99.72910399999978;99.85789999999979;98.45961919999957;99.2529559999997;99.68988879999972;99.68645679999972;99.70021439999971;99.71642879999979;98.08827999999966;99.28261679999969;98.11807119999976;98.86339519999962;99.84902559999975;99.71083919999973;
80.00344399999958;19160.0;99.28861199999976;99.68898879999969;99.3199495999996;99.3406711999996;99.28440959999978;99.32473919999984;99.69467199999977;99.58612399999976;99.71491999999976;98.24378479999953;99.03712159999967;99.54406719999966;99.68555679999969;99.69931439999968;99.59239279999977;97.84829199999962;98.92186079999962;97.75721519999969;98.86249519999959;99.70320399999969;99.56501759999966;
90.0045759999998;19160.0;99.28771199999973;99.68808879999966;99.31904959999957;99.33977119999957;99.28350959999975;99.32383919999981;99.69377199999974;99.44314399999973;99.71391999999973;98.0636727999995;98.85710959999963;99.4223991999996;99.68455679999965;99.69841439999965;99.44372959999976;97.84739199999959;98.58515839999956;97.63554719999964;98.86149519999955;99.70230399999966;99.4190959999996;
100.0045760000001;19160.0;99.1919919999997;99.68708879999963;99.22153519999952;99.24225679999952;99.1859951999997;99.32293919999978;99.6927719999997;99.4422439999997;99.7130199999997;97.85081119999944;98.75949519999958;99.42139919999957;99.5870423999996;99.6008999999996;99.44282959999973;97.57148159999954;98.56010479999952;97.47022479999964;98.6448447999995;99.70140399999963;99.41819599999957;
110.00126533333358;19160.0;99.16741199999967;99.6861887999996;99.00325279999944;99.02397439999945;99.13678799999965;99.32203919999975;99.69187199999968;99.44134399999967;99.71211999999967;97.55777119999934;98.73444159999954;99.42049919999954;99.56198879999957;99.55169279999956;99.4419295999997;97.1522815999995;98.55920479999949;97.11312399999963;98.36658639999942;99.7005039999996;99.41729599999954;
120.00000000000023;19160.0;99.16651199999964;99.68528879999957;98.9298919999994;98.9264599999994;99.13588799999962;99.32113919999972;99.69097199999965;99.44044399999964;99.71121999999964;97.48725199999929;98.73354159999951;99.41959919999951;99.56108879999954;99.55079279999953;99.44102959999967;96.91137759999944;98.55830479999946;96.88388879999957;98.26907199999937;99.69960399999957;99.41639599999951;
130.08631866666707;19160.0;98.98649999999961;99.56362079999951;98.92899199999937;98.92555999999936;98.95938799999963;99.00255919999974;99.57167199999962;99.29746399999962;99.59191999999962;97.30723999999925;98.55352959999948;99.29793119999945;99.56018879999951;99.5498927999995;99.29236639999965;96.7313655999994;98.2332711999994;96.5588551999995;98.26817199999934;99.57793599999951;99.29472799999945;
140.08740800000024;19160.0;98.98559999999958;99.56272079999948;98.92809199999934;98.92465999999934;98.9583879999996;99.00165919999971;99.5707719999996;99.1781639999996;99.59101999999959;97.12712799999922;98.37341759999944;99.1762631999994;99.55928879999948;99.54899279999947;99.14370319999963;96.73046559999938;97.90833759999933;96.43718719999944;98.26727199999931;99.57703599999948;99.1730599999994;
150.00000000000023;19160.0;98.86629999999955;99.56182079999945;98.80642399999928;98.80299199999928;98.81256639999954;99.00065919999967;99.56987199999956;99.17726399999957;99.59011999999956;96.79620879999915;98.22759599999938;99.17536319999937;99.43762079999942;99.42732479999941;99.1428031999996;96.31126559999933;97.9074375999993;96.20139599999946;97.94223839999924;99.57613599999945;99.17215999999937;
160.0023546666674;19160.0;98.86539999999952;99.56092079999942;98.5881415999992;98.5847095999992;98.81166639999951;98.99975919999964;99.56897199999953;99.17636399999954;99.58921999999953;96.56229759999906;98.22669599999935;99.17446319999934;99.43672079999939;99.42642479999938;99.14180319999957;95.96371039999929;97.90653759999927;95.85478799999943;97.72395599999916;99.57523599999942;99.17125999999934;
170.00235466666797;19160.0;98.79275519999949;99.51171359999938;98.53893439999916;98.53550239999916;98.7405263999995;98.88125919999963;99.5207119999995;99.1280039999995;99.5409599999995;96.44323999999901;98.15415119999932;99.1252559999993;99.43582079999936;99.42542479999935;99.09164879999955;95.75862879999923;97.83399279999924;95.58973039999937;97.67474879999912;99.55018239999939;99.1220527999993;
180.00000000000176;19160.0;98.64856559999946;99.41419919999933;98.53803439999913;98.53450239999913;98.5991463999995;98.64515919999964;99.42509199999948;99.05606399999948;99.44533999999948;96.29905039999898;98.00986159999928;99.02774159999925;99.43492079999933;99.42452479999932;99.01686719999952;95.6144391999992;97.56893519999917;95.3246727999993;97.67384879999909;99.45256799999933;99.02453839999924;
190.003444000002;19160.0;98.64766559999943;99.4132991999993;98.5370343999991;98.5336023999991;98.59824639999947;98.64425919999961;99.42419199999945;98.93676399999946;99.44443999999945;96.08311599999894;97.79402719999925;98.88191999999918;99.4340207999993;99.42362479999929;98.8928311999995;95.61353919999917;97.2080791999991;95.20300479999925;97.67294879999906;99.4516679999993;98.87871679999918;
200.0460133333356;19160.0;98.5283655999994;99.41239919999927;98.34290559999903;98.33947359999902;98.4523247999994;98.64325919999958;99.42329199999942;98.93586399999943;99.44343999999941;95.74065919999886;97.67235919999919;98.88101999999915;99.28809919999924;99.30195679999923;98.89193119999948;95.11102559999912;97.20717919999908;94.86011999999927;97.26378559999898;99.45076799999927;98.87771679999915;
210.0000000000021;19160.0;98.52746559999937;99.41139919999924;98.12462319999895;98.12119119999895;98.45142479999937;98.64235919999955;99.42229199999939;98.9349639999994;99.44253999999938;95.53090159999877;97.67145919999916;98.88001999999912;99.28719919999921;99.3010567999992;98.89103119999945;94.76347039999908;97.20627919999905;94.51303839999923;97.0455031999989;99.44986799999924;98.87681679999912;
220.0034440000021;19160.0;98.38317599999934;99.31388479999919;98.12372319999892;98.12029119999892;98.31004479999937;98.42993919999955;99.32667199999936;98.83934399999937;99.34691999999936;95.38661199999873;97.52716959999913;98.78250559999907;99.28629919999918;99.30015679999917;98.79162239999943;94.49841279999902;96.989628799999;94.19977359999916;97.04460319999887;99.35235359999919;98.77930239999907;
230.04379200000182;19160.0;98.34645359999931;99.28883119999915;98.12282319999889;98.11939119999889;98.27402479999935;98.28775919999954;99.30209199999933;98.74372399999935;99.29865999999933;95.3140671999987;97.4429559999991;98.70914479999902;99.28539919999915;99.29925679999914;98.6922135999994;94.42586799999899;96.72457119999893;94.0421831999991;97.04370319999884;99.30314639999915;98.68178799999902;
240.00000000000122;19160.0;98.34555359999928;99.28793119999912;98.12192319999886;98.11849119999886;98.27312479999932;98.28685919999951;99.3011919999993;98.64810399999932;99.2977599999993;95.16987759999867;97.31043519999906;98.63578399999898;99.28449919999912;99.29835679999911;98.59280479999939;94.42496799999896;96.51958959999888;93.96882239999906;97.04280319999881;99.30224639999912;98.60842719999897;
250.0056653333342;19160.0;98.22625359999925;99.28703119999909;97.90364079999878;97.90020879999878;98.15145679999927;98.28595919999948;99.30029199999927;98.64720399999929;99.29685999999927;94.72187919999857;97.164513599999;98.63488399999895;99.16283119999906;99.15253519999905;98.59190479999936;93.8624783999989;96.51868959999885;93.56643519999908;96.62115519999873;99.30134639999909;98.60752719999894;
260.00566533333364;19160.0;98.22535359999922;99.28613119999906;97.73366559999872;97.73023359999871;98.15055679999924;98.28495919999945;99.29939199999924;98.64630399999926;99.29595999999924;94.55853439999849;97.16361359999897;98.63398399999892;99.16193119999903;99.15163519999902;98.59100479999933;93.53826079999885;96.51778959999882;93.24221759999902;96.45117999999866;99.30044639999906;98.60662719999891;
270.004575999999;19160.0;98.06939519999919;99.164463199999;97.73276559999869;97.72933359999868;97.97395679999924;97.96637919999947;99.18009199999922;98.52700399999924;99.17665999999922;94.40267599999846;96.98360159999893;98.51231599999886;99.161031199999;99.15073519999899;98.4422415999993;93.3098415999988;96.19275599999875;92.92895279999895;96.45027999999863;99.178778399999;98.48495919999885;
280.0374293333302;19160.0;98.04434159999916;99.16356319999898;97.73186559999866;97.72843359999865;97.97305679999921;97.96547919999944;99.17919199999919;98.43128399999921;99.17575999999919;94.30587759999842;96.89938799999891;98.43895519999882;99.16013119999897;99.14973519999896;98.34283279999929;93.30894159999878;95.9877743999987;92.8197695999989;96.4493799999986;99.17787839999897;98.41159839999881;
290.0056653333274;19160.0;97.99608159999913;99.16266319999895;97.70681199999862;97.67912639999861;97.92384959999917;97.9645791999994;99.17829199999916;98.40670399999918;99.17485999999916;94.10360639999838;96.75428239999886;98.38974799999878;99.13507759999894;99.10052799999892;98.31730559999926;93.17642079999874;95.86692239999866;92.68807999999888;96.36435039999856;99.17687839999894;98.36239119999877;
300.0012653333251;19160.0;97.9241415999991;99.16176319999892;97.46427599999853;97.46084399999853;97.85048879999913;97.96367919999938;99.17739199999913;98.40580399999915;99.17395999999913;93.73892159999828;96.68092159999881;98.38884799999875;99.03756319999889;99.02716719999887;98.31640559999923;92.6739071999987;95.86602239999863;92.29643039999888;95.97852479999847;99.17597839999891;98.36149119999874;
310.00235466665623;19160.0;97.92324159999907;99.16086319999889;97.34260799999848;97.33917599999847;97.8495887999991;97.96277919999935;99.1764919999991;98.40490399999912;99.1729599999991;93.62198959999822;96.68002159999878;98.38794799999872;99.03656319999885;99.02626719999884;98.3155055999992;92.37302719999863;95.8651223999986;92.01970399999882;95.85685679999841;99.17507839999888;98.3604911999987;
320.00457599998765;19160.0;97.70730719999904;99.01494159999882;97.34170799999845;97.33827599999844;97.63786879999911;97.60897919999937;99.03341199999907;98.2856039999991;99.02997999999907;93.40615519999818;96.46418719999875;98.24202639999865;99.03566319999882;99.02536719999881;98.19146959999918;92.1929151999986;95.50426639999853;91.65894799999876;95.85595679999838;99.05341039999882;98.21466959999864;
330.00344399998784;19160.0;97.706407199999;99.01404159999879;97.34080799999842;97.33737599999841;97.63696879999908;97.60807919999934;99.03251199999904;98.16630399999907;99.02907999999904;93.19022079999814;96.24825279999871;98.09620479999859;99.03476319999879;99.02446719999878;98.06743359999916;92.19201519999856;95.14341039999846;91.5372799999987;95.85505679999835;99.0525103999988;98.06884799999858;
340.0034439999846;19160.0;97.61078719999898;99.01314159999876;97.24329359999837;97.23986159999836;97.53945439999903;97.60717919999931;99.03161199999901;98.16540399999904;99.02817999999901;92.95320559999809;96.15073839999866;98.09530479999856;98.93724879999874;98.92695279999873;98.06653359999913;91.91620479999852;95.14251039999843;91.3481775999987;95.6384063999983;99.05161039999876;98.06794799999855;
350.08631866664973;19160.0;97.56252719999895;99.01224159999873;97.02501119999829;97.02157919999829;97.49024719999899;97.60627919999928;99.03071199999899;98.16450399999901;99.02727999999898;92.671803199998;96.10153119999862;98.09440479999853;98.8880415999987;98.87774559999869;98.0656335999991;91.47366719999849;95.1416103999984;90.9796367999987;95.30007199999821;99.05071039999874;98.06704799999852;
360.08631866664837;19160.0;97.56162719999892;99.0113415999987;96.92749679999824;96.92406479999823;97.48934719999896;97.60537919999925;99.02981199999896;98.16360399999898;99.02637999999895;92.57807759999794;96.10063119999859;98.0935047999985;98.88714159999867;98.87684559999866;98.06473359999907;91.22027839999842;95.14071039999837;90.71457919999864;95.22671119999816;99.0498103999987;98.06614799999849;
370.00235466664793;19160.0;97.38161519999889;98.88967359999864;96.92659679999821;96.9231647999982;97.31284719999897;97.28669919999926;98.91051199999893;98.02062399999896;98.90707999999893;92.3979655999979;95.92061919999855;97.97183679999844;98.88624159999864;98.87594559999863;97.91607039999906;91.00434399999838;94.8157767999983;90.41379919999858;95.22581119999813;98.90398879999864;97.94447999999844;
380.003443999981;19160.0;97.38071519999886;98.88877359999861;96.92569679999818;96.92226479999817;97.31194719999894;97.28579919999923;98.9096119999989;97.87764399999894;98.9061799999989;92.21795359999787;95.74060719999852;97.85016879999839;98.88534159999861;98.8750455999986;97.76730719999904;91.00344399999835;94.49074319999824;90.29213119999852;95.2249111999981;98.90308879999861;97.82281199999838;
390.0023546666455;19160.0;97.26141519999884;98.88787359999858;96.80402879999812;96.80059679999812;97.19027919999888;97.2848991999992;98.90871199999887;97.8766439999989;98.90527999999887;91.9219095999978;95.61893919999847;97.84926879999836;98.76367359999855;98.72912399999854;97.76640719999901;90.6075815999983;94.4898431999982;90.03208639999853;94.94828479999805;98.90218879999858;97.82191199999835;
400.00126533331223;19160.0;97.2605151999988;98.88697359999856;96.58574639999804;96.55806079999803;97.18937919999885;97.28399919999917;98.90781199999884;97.87574399999887;98.90437999999884;91.6888455999977;95.61803919999844;97.84836879999833;98.76277359999852;98.7282239999985;97.76550719999898;90.23668879999826;94.48894319999818;89.6854783999985;94.68159519999796;98.90118879999855;97.82101199999832;
410.0460133333119;19160.0;97.22379279999878;98.86191999999852;96.536439199998;96.533007199998;97.15335919999883;97.22429919999915;98.88323199999881;97.82748399999885;98.87979999999881;91.65307039999767;95.5812167999984;97.82331519999829;98.7618735999985;98.72732399999848;97.71535279999895;90.05586079999821;94.40391359999813;89.45634319999844;94.65654159999792;98.85198159999851;97.79595839999828;
420.0034439999774;19160.0;97.07960319999874;98.76440559999847;96.53553919999797;96.53210719999797;97.01187919999883;96.98809919999916;98.78761199999879;97.75554399999882;98.78407999999878;91.48472719999764;95.43702719999837;97.72580079999824;98.76087359999846;98.72642399999845;97.64057119999893;89.92323999999817;94.16300959999808;89.21543919999839;94.65564159999789;98.77862079999846;97.69834399999823;
430.0045759999767;19160.0;97.07860319999871;98.76340559999844;96.53463919999794;96.53120719999794;97.0109791999988;96.98719919999913;98.78661199999875;97.6362439999988;98.78317999999875;91.2687927999976;95.22109279999833;97.57987919999817;98.75997359999843;98.72552399999842;97.51653519999891;89.92233999999814;93.86222959999802;89.09377119999833;94.65474159999786;98.77772079999843;97.57667599999817;
440.0012653333086;19160.0;96.93562319999869;98.7625055999984;96.36466399999787;96.36123199999787;96.88931119999874;96.9862991999991;98.78571199999872;97.63534399999877;98.78227999999872;90.86730719999751;95.07527119999827;97.57897919999814;98.61415199999837;98.60385599999836;97.51563519999888;89.4198263999981;93.86132959999799;88.75111519999835;94.24557839999778;98.7768207999984;97.57577599999814;
450.00126533330837;19160.0;96.93472319999866;98.76160559999838;96.1463815999978;96.14294959999779;96.88841119999871;96.98539919999907;98.7848119999987;97.63444399999874;98.78137999999869;90.65754959999742;95.07437119999824;97.57807919999811;98.61325199999834;98.60295599999833;97.51473519999885;89.07227119999806;93.86042959999796;88.40450719999832;94.0272959999977;98.77592079999837;97.57487599999811;
460.0427026666407;19160.0;96.81468719999863;98.66409119999832;96.14548159999777;96.14204959999776;96.74693119999871;96.74919919999907;98.68919199999867;97.56250399999871;98.68575999999867;90.5733359999974;94.95433519999821;97.48056479999806;98.61235199999831;98.6020559999983;97.43995359999883;88.831467199998;93.6195255999979;88.12706479999825;94.02639599999767;98.67840639999832;97.47736159999806;
470.0034439999716;19160.0;96.7179887999986;98.61488399999828;96.14458159999774;96.14114959999773;96.6757911999987;96.63069919999906;98.64093199999864;97.46688399999869;98.63749999999864;90.40489279999736;94.81014559999818;97.38305039999801;98.61145199999828;98.60115599999827;97.36517199999881;88.73466879999796;93.40287519999785;87.89782959999819;94.02549599999764;98.62919919999828;97.37984719999801;
480.0034439999689;19160.0;96.71708879999856;98.61398399999825;96.1436815999977;96.1402495999977;96.67489119999867;96.62979919999903;98.64003199999861;97.37126399999866;98.63659999999861;90.22488079999732;94.64170239999814;97.28553599999796;98.61055199999825;98.60025599999824;97.26576319999879;88.73376879999793;93.13781759999779;87.82446879999814;94.02459599999762;98.62829919999825;97.28233279999796;
490.002354666633;19160.0;96.57400879999854;98.61308399999822;95.92539919999763;95.92196719999762;96.55322319999861;96.628899199999;98.63913199999858;97.37036399999863;98.63569999999858;89.81270479999722;94.52003439999808;97.28463599999793;98.46473039999819;98.45443439999818;97.26476319999875;88.15961039999789;93.13691759999776;87.41064159999817;93.56712559999752;98.62739919999822;97.28143279999793;
500.00235466663116;19160.0;96.57310879999851;98.6121839999982;95.73127039999756;95.72783839999755;96.55232319999858;96.62799919999897;98.63823199999855;97.3693639999986;98.63479999999855;89.64935999999715;94.51913439999805;97.2837359999979;98.46383039999816;98.45343439999814;97.26386319999872;87.83539279999783;93.13601759999773;87.07522879999813;93.39715039999746;98.6264991999982;97.2805327999979;
510.00235466663065;19160.0;96.39309679999847;98.49051599999814;95.73037039999753;95.72683839999752;96.37572319999859;96.30931919999898;98.51893199999853;97.22638399999857;98.51549999999853;89.49350159999712;94.33902239999802;97.16206799999784;98.46293039999813;98.45253439999811;97.11519999999871;87.57115119999779;92.81108399999766;86.67773439999804;93.39625039999743;98.48057759999813;97.15886479999784;
520.0034439999641;19160.0;96.39219679999844;98.48961599999811;95.72937039999749;95.72593839999749;96.37482319999856;96.30841919999895;98.5180319999985;97.13076399999855;98.5145999999985;89.36088079999708;94.23065519999798;97.0887071999978;98.4620303999981;98.45163439999808;97.01579119999869;87.54609759999775;92.6060023999976;86.580219999998;93.3953503999974;98.4796775999981;97.0855039999978;
