Time (Sec);S90;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S3;S4;S5;S6;S7;S8;S9;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
10.003333333333304;19160.0;99.93847919999999;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.93847919999999;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.93847919999999;99.99909999999997;
20.0466666666667;19160.0;99.92242399999996;99.99819999999994;99.99819999999994;99.90726879999997;99.99819999999994;99.96788959999995;99.99819999999994;99.99819999999994;99.99819999999994;99.92242399999996;99.99819999999994;99.99819999999994;99.96788959999995;99.99819999999994;99.90726879999997;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.92242399999996;99.96788959999995;
30.000000000000323;19160.0;99.92152399999993;99.99729999999991;99.99729999999991;99.90636879999994;99.90636879999994;99.92152399999993;99.99729999999991;99.99729999999991;99.99729999999991;99.92152399999993;99.99729999999991;99.90636879999994;99.92152399999993;99.99729999999991;99.90636879999994;99.90636879999994;99.99729999999991;99.99729999999991;99.99729999999991;99.92152399999993;99.92152399999993;
40.06666666666695;19160.0;99.9206239999999;99.86000319999992;99.9357791999999;99.90546879999991;99.82969279999993;99.9206239999999;99.99639999999988;99.9206239999999;99.99639999999988;99.9206239999999;99.86000319999992;99.90546879999991;99.78422719999995;99.9206239999999;99.90546879999991;99.76907199999995;99.9206239999999;99.99639999999988;99.99639999999988;99.9206239999999;99.9206239999999;
50.07666666666689;19160.0;99.91972399999987;99.79848239999991;99.90456879999988;99.87425839999989;99.8287927999999;99.88941359999988;99.99549999999985;99.91972399999987;99.96518959999986;99.91972399999987;99.8287927999999;99.90456879999988;99.72270639999994;99.8439479999999;99.90456879999988;99.73786159999993;99.91972399999987;99.99549999999985;99.99549999999985;99.91972399999987;99.91972399999987;
60.00000000000027;19160.0;99.91882399999984;99.7369615999999;99.90366879999985;99.81273759999988;99.82789279999987;99.7521167999999;99.99459999999982;99.91882399999984;99.90366879999985;99.91882399999984;99.82789279999987;99.90366879999985;99.66118559999992;99.76727199999989;99.90366879999985;99.66118559999992;99.91882399999984;99.91882399999984;99.99459999999982;99.91882399999984;99.91882399999984;
70.09666666666678;19160.0;99.91792399999981;99.73606159999987;99.90276879999982;99.73606159999987;99.82699279999984;99.69059599999989;99.99369999999979;99.91792399999981;99.90276879999982;99.91792399999981;99.82699279999984;99.90276879999982;99.59966479999991;99.76637199999986;99.82699279999984;99.6602855999999;99.91792399999981;99.91792399999981;99.99369999999979;99.91792399999981;99.85730319999983;
80.00666666666675;19160.0;99.91702399999978;99.70485119999985;99.90186879999979;99.73516159999984;99.72000639999985;99.65938559999987;99.99279999999976;99.8867135999998;99.90186879999979;99.91702399999978;99.79578239999982;99.82609279999981;99.5381439999999;99.73516159999984;99.82609279999981;99.5532991999999;99.8867135999998;99.91702399999978;99.99279999999976;99.91702399999978;99.82609279999981;
90.00000000000018;19160.0;99.91612399999975;99.56755439999986;99.82519279999978;99.73426159999981;99.65848559999984;99.65848559999984;99.99189999999973;99.82519279999978;99.90096879999976;99.91612399999975;99.65848559999984;99.82519279999978;99.40084719999992;99.67364079999983;99.82519279999978;99.41600239999991;99.82519279999978;99.91612399999975;99.99189999999973;99.91612399999975;99.82519279999978;
